Name,Hangzhou,Huzhou,Jiaxing,Jinhua,Lishui,Ningbo,Shaoxing,Taizhou,Wenzhou
HD0028245-ZZM20230078.result.fasta,0,0,0,0,0,0,0,1,0
ZZM2023-152.result.fasta,0,0,0,0,0,1,0,0,0
ZZM2023-156.result.fasta,0,0,0,0,0,1,0,0,0
ZZM2023-157.result.fasta,0,0,0,0,0,1,0,0,0
ZZM2023-164.result.fasta,0,0,0,0,0,1,0,0,0
ZZM2023-170.result.fasta,0,0,0,0,0,1,0,0,0
N_160,1.39E-07,1.39E-07,2.03E-07,2.69E-07,1.32E-07,0.999997611,1.23E-07,6.52E-07,7.31E-07
ZZM2023-153.result.fasta,0,0,0,0,0,1,0,0,0
ZZM2023-159.result.fasta,0,0,0,0,0,1,0,0,0
N_168,3.64E-09,4.10E-09,5.79E-09,7.64E-09,3.79E-09,0.999999926,3.56E-09,2.17E-08,2.42E-08
ZZM2023-165.result.fasta,0,0,0,0,0,1,0,0,0
N_167,1.92E-08,1.96E-08,2.84E-08,3.76E-08,1.85E-08,0.99999966,1.72E-08,9.43E-08,1.06E-07
ZZM2023-167.result.fasta,0,0,0,0,0,1,0,0,0
ZZM2023-168.result.fasta,0,0,0,0,0,1,0,0,0
N_137,0.999826455,5.46E-06,4.86E-08,4.79E-08,6.79E-05,7.84E-08,9.97E-05,1.00E-07,2.23E-07
N_128,0.00349165,1.20E-05,5.29E-06,5.61E-06,1.05E-05,6.23E-06,0.996450029,1.17E-05,7.07E-06
HD0028320-ZZM2023418.result.fasta,0,0,0,0,0,0,1,0,0
N_126,3.31E-06,9.20E-09,4.05E-09,4.51E-09,7.10E-09,4.46E-09,0.999996646,1.50E-08,5.04E-09
HD0028304-ZZM2023402.result.fasta,0,0,0,0,0,0,1,0,0
HD0028305-ZZM2023403.result.fasta,0,0,0,0,0,0,1,0,0
HD0028312-ZZM2023410.result.fasta,0,0,0,0,0,0,1,0,0
